KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
K242772|SmartSurgN Inc|Jocelyn  Long|1038 Leigh Ave Ste 101B||San Jose|CA|US|95126|95126|09/13/2024|04/11/2025|SESE|OB|HIF|Summary|OB||Traditional|N||AirSurgN Insufflator (10030/AirSurgN)
K242773|Steris|Steve  Elliott|5960 Heisley Road||Mentor|OH|US|44060-1834|44060-1834|09/13/2024|04/15/2025|SESE|SU|GEI|Summary|SU||Traditional|N||Electro Lube NXT
K242786|Sight Sciences, Inc.|Rachel  Franco|4040 Campbell Avenue|Suite 100|Menlo Park|CA|US|94025|94025|09/16/2024|04/15/2025|SESE|OP|ORZ|Summary|OP||Traditional|N||TearCare MGX System
K242806|Medyssey Co, Ltd.|Taehyun  Park|129 Hanbang expo-ro|Jecheon-si|Chungcheongbuk-do||KR|27116|27116|09/17/2024|04/16/2025|SESE|OR|OLO|Summary|NE||Traditional|N||Medyssey Navigation System
K242807|Deski|Saray  Ugidos Seman|2 Place de la Bourse||Bordeaux||FR|33000|33000|09/17/2024|04/04/2025|SESE|RA|QJU|Summary|RA||Traditional|N||HeartFocus (V.1.1.1)
K242808|Canon Medical Systems Corporation|Biggins  Paul|1385 Shimoishigami||Otawara-shi||JP|ochigi-ken|ochigi-ken|09/17/2024|05/13/2025|SESE|RA|IYN|Summary|RA||Traditional|N||Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V8.5
K242925|GE HealthCare|Allena  Holzworth|500 W. Monroe Street||Chicago|IL|US|60661|60661|09/24/2024|04/01/2025|SESE|RA|QKB|Summary|RA||Traditional|N||MR Contour DL
K242928|Kyocera Medical Technologies, Inc.|Dennis  Ty|1289 Bryn Mawr Avenue||Redlands|CA|US|92374|92374|09/24/2024|04/10/2025|SESE|OR|OVE|Summary|OR||Traditional|N||Tesera-k SC System
K242931|MEKICS Co., Ltd.|Sang-Hag  Lee|21, Sangjiseok-gil, Paju-si||Gyeonggi-do||KR|||09/25/2024|05/15/2025|SESE|AN|MNT|Summary|AN||Traditional|N||HFT750U
K242932|CryoConcepts LP|Sam  Niedbala|1100 Conroy Place||Easton|PA|US|18040|18040|09/25/2024|04/15/2025|SESE|SU|GEH|Summary|SU||Traditional|N||Skin Clinic Nitro Clear Wart Remover
K242937|DAE MYUNG CHEMICAL CO., LTD. (VIETNAM)|Tri  Do Minh|Lot CI.II-7a and Lot CI.II-7a', Street No. 5,|Long Thanh Industrial Zone, Tam An Ward|Long Thanh||VN|810000|810000|09/25/2024|05/05/2025|SESE|HO|FYA|Summary|SU||Traditional|N||Dream Medi Sterile Surgical Gown (SurgicalGownUL)
K242951|Beijing Nubway S&T Co., Ltd.|Xiting  Fan|202,No.5 workshop, No.1 caida 3rd Road NancaiShunyi District||Beijing||CN|101300|101300|09/25/2024|04/28/2025|SESE|SU|GEX|Summary|SU||Traditional|N||Diode laser hair removal machine (QDTM-02)
K242962|Philips Medizin Systeme Böblingen GmbH|Mary  Couch|Hewlett-Packard Strasse 2||Böblingen||DE|71034|71034|09/25/2024|05/05/2025|SESE|CV|MHX|Summary|CV||Traditional|N||Telemetry Monitor 5500 Release 4.0 (867232)
K242963|Mentor Worldwide LLC|Alicia  Botham|31 Technology Drive||Irvine|CA|US|92614|92614|09/25/2024|04/24/2025|SESE|SU|LCJ|Summary|||Traditional|N||MENTOR™ PliaForm™ Breast Tissue Expander w/ Suture Tabs
K242973|CANWELL MEDICAL CO., LTD.|Hui  Chen|NO.466 South Xianhua Street,High-Tech Industrial Zone||Jinhua||CN|321016|321016|09/26/2024|04/24/2025|SESE|OR|HRS|Summary|OR||Abbreviated|N||CanMINI Hand and Foot System
K242975|Wuyi Aichi Industry & Trade Co., Ltd.|Wei  Lyu|Yongwu Road, Southeast Industrial Zone||Wuyi City||CN|321200|321200|09/26/2024|05/07/2025|SESE|PM|INI|Summary|PM||Traditional|N||Mobility Scooter (Model X-01, X-02)
K242986|Beijing Rongrui-Century Science & Technology Co., Ltd.|Zhenghua  Zhang|3rd Floor, West zone, No.1 Building, No.7 Yard,|Fengxian middle Road, HaiDian District|Beijing||CN|100094|100094|09/26/2024|05/02/2025|SESE|AN|DSA|Summary|CV||Special|N||SpO2 Extension Cable
K242992|RaySearch Laboratories AB (publ)|Olympiada  Lachana|Eugeniavägen 18C||Stockholm||SE|113 68|113 68|09/26/2024|04/17/2025|SESE|RA|MUJ|Summary|RA||Traditional|N||RayCare (2024A SP1)
K243013|Luminex Corporation|Sheri  Calderon|4088 Commercial Ave.||Northbrook|IL|US|60062|60062|09/27/2024|04/18/2025|SESE|MI|PEN|Summary|MI||Traditional|N||LIAISON PLEX Gram-Negative Blood Culture Assay
K243017|Foshan Newface Electronic Technology Co., Ltd.|Jiazhen  Peng|Floor 4--5, No.13, Hengsan Road, Shabu Industrial, ShaChong,|Lishui Town Nanhai District|Foshan||CN|528244|528244|09/27/2024|05/06/2025|SESE|SU|OHT|Summary|SU||Traditional|N||IPL Hair Removal Device (NV-TM10A, NV-TM10C, NV-TM10D)
K243027|Hangzhou Sightnovo Medical Technology Co., Ltd.|Eric  Shi|101M, Building 7, No. 22, Xinyan Road, Yuhang Economic and|Technological Development Zone, Yuhang District, Hangzhou|Hangzhou City||CN|311100|311100|09/27/2024|04/08/2025|SESE|HO|QLY|Summary|HO||Traditional|N||Disposable Aqueous Humor Collector (SnovoDAHC I-50, SnovoDAHC II-50, SnovoDAHC II-50-27, SnovoDAHC II-100-27)
K243041|BHM-Tech Produktionsgesellschaft mbH|Markus  Hirtzi|Grafenschachen 242||Grafenschachen||AT|7423|7423|09/27/2024|04/25/2025|SESE|EN|LXB|Summary|EN||Traditional|N||contact forte Alpha
K243043|Signature Orthopaedics Pty Ltd|Declan  Brazil|7 Sirius Road||Lane Cove||AU|2066|2066|09/27/2024|05/02/2025|SESE|OR|LZO|Summary|OR||Traditional|N||Origin™ Cemented Hip Stem
K243044|Alma Lasers, Inc.|Jessica  Rivera-Montejo|485 Half Day Road|#100|Buffalo Grove|IL|US|60089|60089|09/27/2024|04/11/2025|SESE|SU|GEX|Summary|SU||Traditional|N||Alma Harmony
K243055|EMA Aesthetics, LTD|Alice  Daniels|Palmerston House|Fenian Street|Dublin 2||IE|D02 WD37|D02 WD37|09/27/2024|04/15/2025|SESE|SU|PBX|Statement|SU||Traditional|N||Préime DermaFacial Collagen+
K243069|INTRADYS|Tiffany  VAZ|37 rue Jean Marie Le Bris||BREST||FR|29200|29200|09/27/2024|05/02/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||LUMYS (V1)
K243072|EMA Aesthetics, LTD|Alice  Daniels|Palmerston House|Fenian Street|Dublin 2||IE|D02 WD37|D02 WD37|09/27/2024|04/01/2025|SESE|NE|NFO|Statement|NE||Traditional|N||Préime DermaFacial  (MicroT)
K243074|Spectrum Spine, Inc.|Scott  Baltsen|20 Harmony Ct.||Jasper|GA|US|30143|30143|09/27/2024|04/04/2025|SESE|OR|MAX|Summary|OR||Traditional|N||Spectrum Spine Lumbar Cage System
K243082|Guangzhou Daxin Health Technology Co., Ltd|LuPeng  Guo|Room 810, No.1, Yichuang Street, Huangpu District,|Guangzhou (China-Singapore Guangzhou Knowledge City)|Guangzhou||CN|510700|510700|09/30/2024|04/25/2025|SESE|HO|FLL|Summary|HO||Traditional|N||Infrared Thermometer
K243105|Venocare, Inc.|Raul  Leyte-Vidal|8750 NW 36 Street, Suite 630||Doral|FL|US|33178|33178|09/30/2024|05/16/2025|SESE|HO|FOZ|Summary|HO||Traditional|N||Ruby Intravascular Catheter
K243107|Dongguan Yanxuan Biotechnology Co., Ltd.|Wang  Long|Room 203, No. 509, Shenyuan 1st Lane, Qiaotou Town||Dongguang||CN|||09/30/2024|05/09/2025|SESE|OB|NUC|Summary|OB||Traditional|N||Water Solubility Human Body Lubricant
K243110|SunTech UK Ltd.|Jinfeng  Ning|25 Ormside Way, Holmethorpe Industrial Estate||Rehill||GB|RH1 2LW|RH1 2LW|09/30/2024|05/08/2025|SESE|PM|ITI|Summary|PM||Traditional|N||eFOLDi Navigator Powerchair  (STPC-A)
K243114|Medical Electronic Systems Ltd.|Taly  Vider Cohen|Alon Hatavor St. 20||Caesarea||IL|3088900|3088900|09/30/2024|05/02/2025|SESE|HE|POV|Summary|HE||Dual Track|N||SQA-iOw Sperm Quality Analyzer
K243143|BOMTECH ELECTRONICS CO., LTD.|Lee  Junseok|322, Gonghang-daero, Gangseo-gu||Seoul||KR|||09/30/2024|04/07/2025|SESE|SU|QAI|Summary|SU||Traditional|N||E-PEN (E-PEN)
K243145|Siemens Medical Solutions USA, Inc.|Kenny M.  Bello|810 Innovation Drive||Knoxville|TN|US|37932|37932|09/30/2024|04/10/2025|SESE|RA|QAS|Summary|RA||Traditional|N||syngo.CT LVO Detection
K243165|EYWA srl|Tommaso  Faiella|Via Pietrarubbia n. 25/E|n. 25/E|Rimini||IT|47922|47922|09/30/2024|05/15/2025|SESE|PM|NGX|Summary|PM||Traditional|N||Limfa Therapy System (Limfa Therapy)
K243176|Cellah Medical Co., Ltd.|Priscilla  Chung|1513, 75-24, Gasan digital 1-ro, Geumcheon-gu|(Gasandong, Gasna IS BIS Tower)|Seoul||KR|08589|08589|09/30/2024|05/16/2025|SESE|SU|GEI|Summary|SU||Traditional|N||BLESSING System
K243214|Dexcom, Inc.|Holly  Drake|6340 Sequence Drive||San Diego|CA|US|92121|92121|10/03/2024|04/09/2025|SESE|CH|QBJ|Summary|CH||Traditional|N||Dexcom G7 15 Day Continuous Glucose Monitoring System
K243226|Leltek Inc.|Paul  Chang|6F.-3, No.293, Sec 1, Beixin Rd., Xindian Dist.,||New Taipei City||TW|23147|23147|10/08/2024|05/08/2025|SESE|RA|IYN|Summary|RA||Special|N||Ultrasound Imaging System (LU700 Series); Ultrasound Imaging System (128 Series); Ultrasound Imaging System (LX Series)
K243230|Pearl Inc.|William  Birdsall|2515 Benedict Canyon Dr.||Beverly Hills|CA|US|90210|90210|10/08/2024|05/09/2025|SESE|RA|QIH|Summary|RA||Traditional|N||Second Opinion® BLE
K243236|Whoop, Inc.|Nikki  Batista|One Kenmore Sq||Boston|MA|US|02215|02215|10/10/2024|04/04/2025|SESE|CV|QDA|Summary|CV||Traditional|N||WHOOP ECG (electrocardiogram) Feature (1.0)
K243239|Exo Inc|Murray  Jacqueline|4201 Burton Drive||Santa Clara|CA|US|95054|95054|10/10/2024|04/24/2025|SESE|RA|MYN|Summary|RA||Traditional|N||Lung AI (LAI001)
K243240|Canon Medical Informatics, Inc.|Jay  Vaishnav|5850 Opus Parkway, Suite 300||Minnetonka|MN|US|55343|55343|10/10/2024|04/10/2025|SESE|RA|JAK|Summary|RA||Traditional|N||Vitrea CT VScore
K243260|Fujifilm Corporation|Chaitrali  Kulkarni|798 Miyanodai Kaisei-Machi||Ashigarakami-Gun||JP|258-8538|258-8538|10/15/2024|04/11/2025|SESE|GU|FET|Summary|GU||Traditional|N||FUJIFILM Processor EP-8000; FUJIFILM Endoscope Model EG-860R
K243264|Sorin Group Italia S.r.l.|Martina  Carlini|Via Statale 12 Nord, 86||Mirandola ( Modena)||IT|41037|41037|10/15/2024|04/25/2025|SESE|GU|KDI|Summary|GU||Traditional|N||DHF 0.2 Hemoconcentrator (DHF 02); DHF 0.6 Hemoconcentrator (DHF 06); SH 14 Hemoconcentrator (SH 14)
K243290|BTL Industries, Inc.|David  Chmel|362 Elm Street||Marlborough|MA|US|01752|01752|10/18/2024|05/09/2025|SESE|DE|NUW|Summary|PM||Traditional|N||BTL-785MJ
K243298|Carbon (Shenzhen) Medical Device Co., Ltd.|Min  Ye|Room 203, Building B, 5# Skyworth Innovation Vally, No.1|Tangtou Road,Tangtou Community,Shiyan Street, Bao'an Disrict|Shenzhen||CN|518102|518102|10/18/2024|04/03/2025|SESE|RA|IYN|Summary|RA||Traditional|N||Venus Ultimate-Dual, Venus Ultimate-Hepa, Venus Ultimate-Uro Diagnostic Ultrasound System
K243305|Masimo Corporation|Sindura  Penubarthi|52 Discovery||Irvine|CA|US|92618|92618|10/21/2024|04/03/2025|SESE|CV|DPS|Summary|CV||Traditional|N||Masimo W1
K243322|Altaviz, LLC|James  Lescoulie|13766 Alton Parkway, Suite 143||Irvine|CA|US|92618|92618|10/23/2024|05/09/2025|SESE|HO|QLY|Summary|HO||Traditional|N||Altaviz Intravitreal Syringe
K243326|LEM Surgical AG|Yossi  Bar|Morgenstrasse 136||Berne||CH|3018|3018|10/24/2024|04/23/2025|SESE|OR|OLO|Summary|NE||Traditional|N||Dynamis Robotic Surgical System
K243337|Yofo Medical Technology Co., Ltd.|li  Zhao|Building A1, National Health Industrial Park,|Hi-tech Industrial Development Zone|Hefei||CN|230000|230000|10/25/2024|04/17/2025|SESE|RA|OAS|Summary|RA||Traditional|N||Dental Cone Beam Computed Tomography System
K243343|BD Integrated Diagnostic Solutions/Becton,|Teresa Jennifer  Sugumar|Dickinson & Company|7 Loveton Circle|Sparks|MD|US|21152|21152|10/25/2024|04/22/2025|SESE|MI|QEP|Summary|MI||Traditional|N||BD CTGCTV2
K243346|Roche Molecular Systems, Inc.|Deborah  Leu|4300 Hacienda Drive||Pleasanton|CA|US|94588|94588|10/28/2024|04/11/2025|SESE|MI|QWR|Summary|MI||Dual Track|N||cobas liat SARS-CoV-2 v2 nucleic acid test
K243356|Asiga Pty Ltd|Justin  Elsey|Unit 2, 19-21 Bourke Road||Alexandria||AU|2015|2015|10/29/2024|04/11/2025|SESE|DE|EBI|Summary|DE||Abbreviated|N||Asiga DentaBASE
K243370|Asiga Pty Ltd|Justin  Elsey|Unit 2, 19-21 Bourke Road||Alexandria||AU|2015|2015|10/30/2024|05/05/2025|SESE|DE|EBG|Summary|DE||Traditional|N||DentaTOOTH
K243371|Byonyks Pvt Ltd|Eric  Flachbart|45/A XX Block Khayban-e-iqbal|Phase III DHA|Lahore||PK|54000|54000|10/30/2024|05/16/2025|SESE|GU|FKX|Summary|GU||Traditional|N||Byonyks X-1 APD Cycler; Byonyks Automated PD Set DS-1
K243376|Shanghai United Imaging Healthcare Co.,Ltd.|Xin  Gao|No.2258 Chengbei Rd. Jiading District||Shanghai||CN|201807|201807|10/30/2024|04/28/2025|SESE|RA|OWB|Summary|RA||Traditional|N||uAngio AVIVA CX
K243383|ASAHI INTECC CO., LTD.|Katsuhiko  Fujimura|3-100 Akatsuki-cho||Seto||JP|489-0071|489-0071|10/31/2024|04/21/2025|SESE|NE|MOF|Summary|CV||Traditional|N||CHIKAI Nexus 014
K243386|Acuity Surgical Devices LLC|Chuck  Forton|8710 N Royal Lane||Irving|TX|US|75063|75063|10/31/2024|04/22/2025|SESE|OR|OVD|Summary|OR||Traditional|N||Ventris Intervertebral Body Fusion Device
K243400|Roche Molecular Systems, Inc.|Sumedha  Sinha|4300 Hacienda Drive||Pleasanton|CA|US|94588|94588|10/31/2024|04/25/2025|SESE|MI|QOF|Summary|MI||Dual Track|N||cobas liat SARS-CoV-2 & Influenza A/B v2 nucleic acid test
K243406|Roche Molecular Systems, Inc.|Sumedha  Sinha|4300 Hacienda Drive||Pleasanton|CA|US|94588|94588|11/01/2024|04/25/2025|SESE|MI|QOF|Summary|MI||Dual Track|N||cobas liat SARS-CoV-2, Influenza A/B & RSV nucleic acid test
K243419|Altus Partners LLC.|Rand  Baker|1340 Enterprise Drive||West Chester|PA|US|19380|19380|11/04/2024|05/08/2025|SESE|OR|OLO|Summary|NE||Traditional|N||Altus Spine Navigation System
K243457|Seriously Clean, Ltd|Kip  Glass|1075 W. Kathryn St.|Suite 6|Nixa|MO|US|65714|65714|11/07/2024|05/02/2025|SESE|SU|FRO|Summary|||Traditional|N||Nixall Antimicrobial Solutions™ Skin & Wound Hydrogel
K243459|Brain Ultimate, Inc.|Frank  Ge|5910 Shiloh Road East||Alpharetta|GA|US|30005|30005|11/08/2024|04/17/2025|SESE|NE|QCI|Summary|NE||Traditional|N||Ultimate rTMS for OCD (M-series)
K243460|Brain Ultimate, Inc.|Frank  Ge|5910 Shiloh Road East||Alpharetta|GA|US|30005|30005|11/08/2024|04/17/2025|SESE|NE|OBP|Summary|NE||Traditional|N||Ultimate rTMS
K243479|Sonavex, Inc.|Ralph  Del Negro|2835 O'Donnell Street|Suite 200|Baltimore|MD|US|21224|21224|11/08/2024|04/23/2025|SESE|GU|IYO|Summary|RA||Traditional|N||EchoGuide (Version 1)
K243508|Shenzhen TPH Technology Co., Ltd.|Peter  Chen|Room 203, 2nd floor, 29th Building, Lianchuang Technology|Park, No.21 Bulan Road, Xialilang Community, Nanwan Street,|Shenzhen||CN|518100|518100|11/12/2024|04/21/2025|SESE|OB|HGX|Summary|OB||Abbreviated|N||Wearable breast pump (model S12A)
K243509|3D-Side|Florence  Allé|Rue André Dumont 5||Mont-saint-Guibert||BE|1435|1435|11/12/2024|05/12/2025|SESE|OR|QHE|Summary|OR||Traditional|N||Archer PSI System
K243513|PneumoWave, Ltd|Stuart  Kelly|Suites 3 and 4, Second Floor, Maxim 3|Maxim Office Park, Parklands Avenue|Eurocentral||GB|ML1 4WQ|ML1 4WQ|11/12/2024|04/16/2025|SESE|NE|LEL|Summary|NE||Traditional|N||DCM (PW-DCM)
K243514|Spine Wave, Inc.|Ronald  Smith|Three Enterprise Drive|Suite 210|Shelton|CT|US|06484|06484|11/13/2024|04/03/2025|SESE|OR|OLO|Summary|NE||Traditional|N||Salvo® Robotic Navigation Instruments
K243521|BioHorizons Implant Systems Inc.|Jared  Cooper|2300 Riverchase Center||Birmingham|AL|US|35244|35244|11/13/2024|05/01/2025|SESE|DE|NHA|Summary|DE||Traditional|N||Conical Ti Base abutments
K243532|Contra Healthcare Solutions, LLC|John  O'Conner|105 Lincoln Avenue||Butler|PA|US|16001|16001|11/15/2024|04/28/2025|SESE|GU|FGB|Summary|GU||Traditional|N||LumiRex Ureteroscope
K243537|XELITE BIOMED LTD.|Wei Chun  Chang|2F., No. 9, Aly. 2, Siwei Ln., Zhongzheng Rd., Xindian Dist.|Taiwan (R.O.C.)|New Taipei City||TW|231022|231022|11/15/2024|04/11/2025|SESE|OR|NDN|Summary|OR||Traditional|N||XeliteMed VertehighFix High Viscosity Spinal Bone Cement System
K243541|Contra Healthcare Solutions, LLC|John  O'Conner|105 Lincoln Avenue||Butler|PA|US|16001|16001|11/15/2024|04/30/2025|SESE|EN|EOQ|Summary|EN||Traditional|N||LumiRex Bronchoscope
K243549|Abbott Medical|Fiona  Pu|3200 Lakeside Drive||Santa Clara|CA|US|95054|95054|11/15/2024|04/04/2025|SESE|CV|QEZ|Summary|CV||Traditional|N||JETi Hydrodynamic Thrombectomy System
K243558|Cognoa, Inc.|Sharief  Taraman|2185 Park Blvd.||Palo Alto|CA|US|94306|94306|11/18/2024|04/11/2025|SESE|NE|QPF|Summary|NE||Traditional|N||Canvas Dx
K243567|Tyto Care Ltd.|Stella  Raizelman Perry|14 Beni Gaon Street||Netanya||IL|||11/18/2024|04/07/2025|SESE|AN|PHZ|Summary|AN||Traditional|N||Tyto Insights for Rhonchi Detection
K243570|Siemens Healthcare Diagnostics|Yevgenia  Sarkisian|500 GBC Drive||Newark|DE|US|19714|19714|11/18/2024|04/25/2025|SESE|CH|JLW|Summary|CH||Traditional|N||Dimension LOCI Thyroid Stimulating Hormone Flex reagent cartridge (TSHL); Dimension LOCI Free Thyroxine Flex reagent cartridge (FT4L)
K243581|Terumo Europe N.V.|Liesbeth  Decoster|Interleuvenlaan 40||Leuven||BE|3001|3001|11/14/2024|04/04/2025|SESE|HO|FMI|Summary|HO||Traditional|N||K-Pack Enhance Needle (KH-2713RBBTC and KH-2913RBBTC)
K243602|Arthrex, Inc.|Lai  Saeteurn|1370 Creekside Blvd.||Naples|FL|US|34108|34108|11/21/2024|05/16/2025|SESE|OR|HRX|Summary|OR||Traditional|N||Arthrex Spine Endoscope
K243603|Aevice Health Pte. Ltd.|Adrian  Ang|18 Howard Road, #06-11 Novelty Bizcentre||Singapore||SG|369585|369585|11/21/2024|05/05/2025|SESE|AN|DSH|Summary|CV||Traditional|N||AeviceMD
K243613|Transtimulation Research, Inc|Victor  Pikov|800 Research Parkway, # 337||Oklahoma City|OK|US|73104|73104|11/22/2024|04/09/2025|SESE|NE|NUH|Summary|NE||Traditional|N||Patch-TEA (Model TRI-21)
K243617|Shanghai United Imaging Healthcare Co.,Ltd.|Xin  Gao|No.2258 Chengbei Rd. Jiading District||Shanghai||CN|201807|201807|11/22/2024|05/16/2025|SESE|RA|JAK|Summary|RA||Traditional|N||uCT ATLAS Astound with uWS-CT-Dual Energy Analysis; uCT ATLAS with uWS-CT-Dual Energy Analysis
K243621|Evoden Indústria Comércio Importação e Exportação|Jéssica  Augusto|de Produtos Odontológicos Ltda.|R: Genésio de Bem, 1634 Distrito Industrial|Pirassununga||BR|13633-428|13633-428|11/22/2024|04/22/2025|SESE|DE|EBG|Statement|DE||Traditional|N||Evoblock, Perléon
K243632|Shanghai United Imaging Healthcare Co., Ltd.|Xin  Gao|No. 2258 Chengbei Rd. Jiading District||Shanghai||CN|201807|201807|11/25/2024|05/12/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||uWS-Angio Basic
K243651|GE Medical Systems SCS|Peter  Uhlir|283, rue de la Miniere||Buc||FR|78530|78530|11/26/2024|04/21/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||VersaViewer
K243659|SeaSpine Orthopedics Corporation|Cindy  Toyama|5770 Armada Drive||Carlsbad|CA|US|92008|92008|11/27/2024|04/02/2025|SESE|OR|OLO|Summary|NE||Traditional|N||FLASH™ Facet Fusion Instruments, IsoTis® Facet Fusion Instruments
K243684|BrightHeart|Christophe  Gardella|7-11 boulevard Haussmann||Paris||FR|75009|75009|11/29/2024|05/07/2025|SESE|RA|QIH|Summary|RA||Traditional|N||BrightHeart View Classifier
K243691|Seigla Medical, Inc.|Chad  Kugler|7688 5th Street SE||Buffalo|MN|US|55313|55313|11/26/2024|04/04/2025|SESE|CV|DQY|Summary|CV||Special|N||LiquID .051 LP Guide Catheter Extension
K243697|Medacta International S.A.|Stefano  Baj|Strada Regina||Castel San Pietro||CH|6874|6874|11/29/2024|04/23/2025|SESE|RA|LLZ|Summary|RA||Traditional|N||MySpine WebPlanner
K243710|Shenzhen Trious Medical Technology Co., Ltd|Yingfang  Yi|Rm 102-2, Longtian Tongfuyu Ind Estate #11-3 & Rm 401 & 402|Bldg D3, YingZhan S&T Estate, Longtian Tongfuyu Rd #8;|Shenzhen||CN|||12/02/2024|04/11/2025|SESE|GU|FED|Summary|GU||Traditional|N||Disposable ureteral access sheath
K243714|Intuitive Surgical, Inc.|Mike  Yramategui|1020 Kifer Road||Sunnyvale|CA|US|94086|94086|12/02/2024|04/24/2025|SESE|SU|NAY|Summary|GU||Traditional|N||da Vinci SP Surgical System (SP1098)
K243721|Wellmed Dental Medical Supply Co., Ltd|Renxian  Tang|301 Zhongxin Science and Technology Building, No.64,|Xin’an 2nd Road, Baoan District|Shenzhen||CN|||12/03/2024|04/25/2025|SESE|HO|FRG|Statement|HO||Traditional|N||Self Sealing Sterilization Pouches
K243722|Selio Medical Limited|Colm  McGarvey|Unit 53 Guinness Enterprise Centre,|Taylors Lane, Dublin 8|Dublin||IE|D08 R9YW|D08 R9YW|12/03/2024|04/08/2025|SESE|AN|OMT|Summary|SU||Traditional|N||Pre-B Seal Lung Biopsy Plug System - 15cm Model (FG0001); Pre-B Seal Lung Biopsy Plug System - 16cm Model (FG0002); Pre-B Seal Lung Biopsy Plug System - 20cm Model (FG0003)
K243733|ASAHI INTECC CO., LTD.|Katsuhiko  Fujimura|3-100 Akatsuki-cho||Seto||JP|489-0071|489-0071|12/04/2024|04/02/2025|SESE|CV|DQX|Summary|CV||Special|N||SION blue PLUS
K243734|Allengers Medical Systems Limited|Sanjeev K.  Marjara|FDA Hall, Unit-2,|Bhankarpur, Mubarakpur Road, Derabassi, Distt Mohali|SAS Nagar Mohali||IN|140507|140507|12/04/2024|04/18/2025|SESE|RA|MQB|Summary|RA||Special|N||Wireless/ Wired X-Ray Flat Panel Detectors
K243743|Holberg EEG AS|Smriti  Franklin|Fjøsangerveien 70A||Bergen||NO|5068|5068|12/04/2024|04/09/2025|SESE|NE|OMB|Summary|NE||Traditional|N||autoSCORE (V 2.0.0)
K243749|Shenzhen Ulike Smart Electronics Co., Ltd.|Yang  Blue|810, Building 1, Xunmei Science and Technology Plaza|No. 8 Keyuan Road, Science Park Community|Shenzhen||CN|||12/05/2024|04/08/2025|SESE|NE|GYB|Summary|NE||Traditional|N||Jmoon Conductive Gel
K243750|Envision Endoscopy|Azadeh  Khanicheh|204 Second Ave, 2nd Floor||Waltham|MA|US|02451|02451|12/05/2024|04/17/2025|SESE|GU|OCW|Summary|GU||Traditional|N||SimpleStitch Suturing System
K243757|Shockwave Medical, Inc.|Renee  Maack|5403 Betsy Ross Drive||Santa Clara|CA|US|95054|95054|12/06/2024|05/02/2025|SESE|CV|DQY|Summary|CV||Traditional|N||Shockwave CS Guide Catheter
K243760|Ossio Ltd.|Taly  Linder|8 HaTochen St.||Caesarea||IL|3079861|3079861|12/06/2024|04/03/2025|SESE|OR|MAI|Summary|OR||Traditional|N||OSSIOfiber® Suture Anchor 2.5-3.5 mm
K243764|Wuhan Pioon Technology Co., Ltd.|Feng  Zhang|12th Fl, Bldg 1, Innovative Unit, R&D Center Project,Marine|World Shipyard Pk,No. 16 Fozuling 3rd Rd, East Lake High|Wuhan||CN|430205|430205|12/06/2024|05/08/2025|SESE|DE|NVK|Summary|SU||Traditional|N||Medical Diode Laser (UTU3-F7B,UTU3-F7W,UTU3-G7B,UTU3-G7W,UTU-G20B,UTU-G20W)
K243769|QFR Solutions bv|Bob  Goedhart|Schuttersveld 9||Leiden||NL|2316XG|2316XG|12/06/2024|04/04/2025|SESE|RA|QHA|Summary|RA||Traditional|N||QFR (3.0)
K243776|ZEUS Scientific|Mark  Kopnitsky|200 Evans Way||Branchburg|NJ|US|08876|08876|12/09/2024|05/07/2025|SESE|IM|MOB|Statement|IM||Traditional|N||Anti-Neutrophil Cytoplasmic Antibodies (Ethanol-Fixed); Anti-Neutrophil Cytoplasmic Antibodies (Formalin-Fixed)
K243786|Fresenius Medical Care Renal Therapies Group, LLC|Timothy  Groves|920 Winter Street||Waltham|MA|US|02451|02451|12/09/2024|04/04/2025|SESE|GU|KPO|Summary|GU||Traditional|N||Bicarby Dialysate RFP-402 (RFP-402-G); Bicarby Dialysate RFP-400 (RFP-400-G); Bicarby Dialysate RFP-407 (RFP-407-G); Bicarby Dialysate RFP-401 (RFP-401-G); Bicarby Dialysate RFP-404 (RFP-404-G); Bicarby Dialysate RFP-456 (RFP-456-G); Ci-Ca Dialysate 2K (RFP-457-G); Ci-Ca Dialysate 4K (RFP-458-G)
K243812|Volta Medical|Paola  Milpied|65 Avenue Jules Cantini||Marseille||FR|13006|13006|12/11/2024|05/09/2025|SESE|CV|DQK|Summary|CV||Traditional|N||Volta AF-Xplorer
K243819|Luminopia, Inc.|Scott  Xiao|955 Massachusetts Ave #335||Cambridge|MA|US|02139|02139|12/12/2024|04/09/2025|SESE|OP|QQU|Summary|OP||Traditional|N||Luminopia
K243821|A.M.I. Agency for Medical Innovations GmbH|Anke  Ristow|Im Letten 1||Feldkirch||AT|6800|6800|12/12/2024|04/25/2025|SESE|OB|HET|Summary|OB||Traditional|N||i-Cut
